bts;nearest;distance
Arcore;Concorezzo;2864.2366390113466
Vimercate;Concorezzo;1998.6336900697559
Verderio;Montevecchia;4786.615437009504
Montevecchia Chiesa;Montevecchia;620.5129304243303
Cologno Monzese;CiniselloBalsamo;4778.882129858385
Varedo;Cogliate;7031.463562909972
Monte Canto_OLD;Pontida;1214.8141553466062
Lesmo centro;Arcore;3333.6481275386905
Usmate Velate;Lesmo centro;3871.5139891510776
Concorezzo;Vimercate;1998.6336900697559
Villabalzana;San Giovanni in Monte;2945.1615045218277
Arcugnano;Villabalzana;4402.075364447943
Fossignano;Tor San Lorenzo;2930.2936951878396
Ardea;Fossignano;4246.835091030205
Tor San Lorenzo;Fossignano;2930.2936951878396
Ca del Sasso;Poira;3602.480877776598
Ardesio Botto;Bani Ardesio RAI;1771.1338097762102
Alpe di Poti;Arezzo Nord;9988.461604654056
Olmo di Arezzo;Arezzo San Zeno;3338.5492305983453
Casavento;Arezzo Nord;5196.396715318838
Arezzo Nord;Casavento;5196.396715318838
Monte San Zio;Arezzo San Zeno;2786.8618381936926
Arezzo San Zeno;Monte San Zio;2786.8618381936926
Monte Altuccia;Casavento;9417.154755117588
Cavagnola;Pigra;2881.6614810730043
San Zeno Intelvi;Monte Gireglio;2625.4036527192998
Lenno;Lenno libronico;915.2311659334671
Palanzo;Moltrasio;4887.458961257479
Egro;Arola;1865.589815356261
Pogno;Bugnate;1671.3380580724781
Armeno;Agrano;2674.767750081674
Arqua Polesine;Bosaro;1985.3161732325389
Bosaro;Arqua Polesine;1985.3161732325389
Rovigo Sud;Rovigo Centro;4967.489681871881
Rovigo A13;Rovigo Centro;2954.7222775649525
Granze;Solesino;4047.1157459062974
Arquata del Tronto;Colle Petrone;5410.879104492441
Buonacquisto;Costemonte;3038.100626245148
Miranda;Piediluco;4743.908645443716
Arrone;Ferentillo;4469.526765277049
Col de Tol;Col Perer;3682.7755383308763
Lariano Foresta;Colubro;2529.957843123453
Velletri;Velletri Nord;2635.004297804787
Rocca di Cave;Castel San Pietro;3970.6264619405056
Colubro;Lariano Foresta;2529.957843123453
Darfo;Artogne;4487.406597980781
Solto Collina;Esmate;1796.8013541479354
Costa Volpino;Pisogne;1520.9350501290023
Artogne;Darfo;4487.406597980781
Piancogno;Darfo;5109.076117293937
Planaval;Bonne;5426.589906310606
Monte Su Aspru;Cugnana;6664.77010500012
Arzachena Ovest;Cannigione;4861.893329503367
Baia Sardinia;Porto Cervo Marina;3769.331700582512
La Maddalena;Palau;4834.522848030509
Porto Cervo Marina;Porto Cervo;1819.2781118155315
Porto Cervo;Porto Cervo Marina;1819.2781118155315
Monte Moro SS;Porto Cervo Marina;2878.141294277463
Cannigione;Arzachena Ovest;4861.893329503367
Vigonovo;Noventa Padovana;3292.417296631719
Arzergrande;Brugine;8128.678742919882
Marina Di Ascea;Monte Stella;14060.259647648938
Colle Carbonara;Orlini;2730.7262871976204
Ascoli Piceno PoP;Poggio San Marco;4306.481465680058
Monte Ascensione;Rotella;4209.261482783286
Madonna della Carità;Ancarano;2327.134467251668
Cima Ekar;Col del Rosso;3271.078674768454
Asola;Remedello;5652.882122673852
Remedello;Gambara;4849.973042009785
Ceresara;Castel Goffredo;7771.06955863225
Bozzolo;Romprezzagno;2544.6233394618316
San Giovanni in Croce;Romprezzagno;6632.691912426793
Castiglione delle Stiviere;Belvedere MN;1435.4443021209959
Cingia de Botti sud;San Giovanni in Croce;7579.129141071448
Belvedere MN;Castiglione delle Stiviere;1435.4443021209959
Mercato Vecchio;Montebelluna ovest;2546.165809168452
